DATE,CASES,HOSP,DEATH
2020-03-14,1,0,0
2020-03-16,2,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,4,0,0
2020-03-22,5,1,0
2020-03-23,21,1,0
2020-03-24,22,3,1
2020-03-25,25,2,0
2020-03-26,15,2,0
2020-03-27,20,2,0
2020-03-28,18,3,0
2020-03-29,12,0,0
2020-03-30,4,0,0
2020-03-31,11,1,1
2020-04-01,19,2,1
2020-04-02,10,0,0
2020-04-03,7,1,0
2020-04-04,19,0,0
2020-04-05,8,0,0
2020-04-06,2,0,0
2020-04-07,3,0,0
2020-04-08,4,0,0
2020-04-09,2,0,0
2020-04-10,5,2,0
2020-04-11,1,0,0
2020-04-12,2,1,0
2020-04-14,3,0,0
2020-04-16,5,0,0
2020-04-17,4,0,0
2020-04-25,1,0,0
2020-04-30,1,0,0
2020-05-06,1,0,0
2020-05-07,1,0,0
2020-05-28,1,0,0
2020-07-10,1,0,0
2020-07-21,1,0,0
2020-07-22,1,0,0
2020-07-23,1,0,0
2020-07-25,1,0,0
2020-08-07,1,0,0
2020-08-10,1,0,0
2020-08-27,1,0,0
2020-09-05,1,0,0
2020-09-12,1,0,0
2020-09-18,1,0,0
2020-09-27,1,0,0
2020-09-30,1,0,0
2020-10-01,1,0,0
2020-10-03,1,0,0
2020-10-04,1,0,0
2020-10-09,2,0,0
2020-10-10,3,0,0
2020-10-12,1,0,0
2020-10-15,3,0,0
2020-10-16,1,0,0
2020-10-21,1,0,0
2020-10-23,1,0,0
2020-10-24,1,0,0
2020-10-25,1,0,0
2020-11-03,1,0,0
2020-11-04,2,0,0
2020-11-07,2,0,0
2020-11-10,2,0,0
2020-11-13,1,0,0
2020-11-14,4,1,0
2020-11-17,4,1,0
2020-11-19,1,0,0
2020-11-20,4,0,0
2020-11-21,5,0,0
2020-11-22,2,0,0
2020-11-23,3,0,0
2020-11-24,1,0,0
2020-11-25,3,0,0
2020-11-26,3,0,0
2020-11-27,2,0,0
2020-11-28,3,0,0
2020-11-29,4,0,0
2020-12-01,2,0,0
2020-12-03,2,0,0
2020-12-04,3,0,0
2020-12-05,2,0,0
2020-12-06,4,0,0
2020-12-08,2,0,0
2020-12-09,1,0,0
2020-12-11,2,0,0
2020-12-12,1,0,0
2020-12-13,1,0,0
2020-12-14,1,0,0
2020-12-15,2,0,0
2020-12-16,3,0,0
2020-12-17,5,1,0
2020-12-18,7,0,0
2020-12-19,6,0,0
2020-12-22,2,0,0
2020-12-24,2,0,0
2020-12-27,3,0,0
2020-12-29,1,0,0
2021-01-04,2,0,0
2021-01-09,1,0,0
2021-01-13,1,0,0
2021-01-14,1,0,0
2021-01-16,1,0,0
2021-01-21,2,0,0
2021-01-26,2,0,0
2021-01-27,3,0,0
2021-01-28,5,0,0
2021-02-03,3,0,0
2021-02-05,1,0,0
2021-02-06,3,0,0
2021-02-07,4,0,0
2021-02-08,10,0,0
2021-02-09,35,1,0
2021-02-10,86,0,0
2021-02-11,91,2,0
2021-02-12,33,1,0
2021-02-13,21,1,0
2021-02-14,6,0,0
2021-02-15,5,1,1
2021-02-16,18,2,1
2021-02-17,50,1,0
2021-02-18,54,2,1
2021-02-19,53,3,0
2021-02-20,28,1,0
2021-02-21,19,0,0
2021-02-22,16,0,0
2021-02-23,11,0,0
2021-02-24,10,0,0
2021-02-25,9,1,0
2021-02-26,3,0,0
2021-02-27,7,0,0
2021-02-28,3,0,0
2021-03-01,5,0,0
2021-03-02,3,0,0
2021-03-03,5,0,0
2021-03-04,3,0,0
2021-03-06,3,0,0
2021-03-08,3,0,0
2021-03-09,1,0,0
2021-03-11,2,0,0
2021-03-15,1,0,0
2021-03-18,1,0,0
2021-03-24,1,0,0
2021-03-27,1,0,0
2021-03-29,1,0,0
2021-03-30,2,0,0
2021-03-31,2,0,0
2021-04-07,1,0,0
2021-04-08,1,0,0
2021-04-09,2,0,0
2021-04-10,4,0,0
2021-04-11,1,0,0
2021-04-12,1,0,0
2021-04-13,3,0,0
2021-04-14,2,1,0
2021-04-15,2,0,0
2021-04-16,2,0,0
2021-04-17,3,0,0
2021-04-18,1,0,0
2021-04-19,2,1,0
2021-04-20,2,0,0
2021-04-21,1,0,0
2021-04-22,3,0,0
2021-04-23,2,1,0
2021-04-24,3,0,0
2021-04-25,4,0,0
2021-04-26,1,0,0
2021-04-27,1,0,0
2021-04-28,3,0,0
2021-04-29,5,0,0
2021-04-30,6,1,0
2021-05-01,20,1,0
2021-05-02,6,0,0
2021-05-03,3,0,0
2021-05-04,6,0,0
2021-05-05,5,0,0
2021-05-06,5,0,0
2021-05-07,7,0,0
2021-05-08,7,0,0
2021-05-09,4,0,0
2021-05-10,7,0,0
2021-05-11,12,1,0
2021-05-12,9,1,0
2021-05-13,11,2,0
2021-05-14,3,0,0
2021-05-15,9,0,0
2021-05-16,6,0,0
2021-05-17,7,0,0
2021-05-18,8,0,0
2021-05-19,1,0,0
2021-05-20,7,1,0
2021-05-21,7,2,0
2021-05-22,19,1,0
2021-05-23,11,0,0
2021-05-24,9,0,0
2021-05-25,5,0,0
2021-05-26,7,0,0
2021-05-27,14,1,0
2021-05-28,9,0,0
2021-05-29,4,1,1
2021-05-30,6,0,0
2021-05-31,3,0,0
2021-06-01,12,0,0
2021-06-02,12,0,0
2021-06-03,3,0,0
2021-06-04,2,0,0
2021-06-05,5,0,0
2021-06-06,6,0,0
2021-06-07,1,0,0
2021-06-08,3,0,0
2021-06-09,3,0,0
2021-06-10,7,1,0
2021-06-11,6,0,0
2021-06-13,5,0,0
2021-06-14,1,0,0
2021-06-15,2,0,0
2021-06-17,1,1,0
2021-06-22,1,0,0
2021-06-28,1,0,0
2021-06-29,1,0,0
2021-07-01,1,0,0
2021-07-03,12,0,0
2021-07-04,1,0,0
2021-07-09,2,0,0
2021-07-11,5,1,0
2021-07-14,3,1,0
2021-07-15,23,0,0
2021-07-17,4,1,0
2021-07-29,2,0,0
2021-07-30,1,0,0
2021-08-01,1,0,0
2021-08-04,1,0,0
2021-08-06,2,0,0
2021-08-10,1,0,0
2021-08-12,3,0,0
2021-08-14,1,0,0
2021-08-15,2,0,0
2021-08-16,1,0,0
2021-08-17,3,0,0
2021-08-18,1,0,0
2021-08-19,1,0,0
2021-08-20,2,0,0
2021-08-21,1,0,0
2021-08-24,1,0,0
2021-08-25,6,0,0
2021-08-26,3,0,0
2021-08-27,1,0,0
2021-08-28,4,0,0
2021-08-29,3,0,0
2021-08-30,4,0,0
2021-08-31,3,0,0
2021-09-01,2,0,0
2021-09-02,4,0,0
2021-09-03,2,0,0
2021-09-04,7,1,0
2021-09-05,3,0,0
2021-09-06,7,1,0
2021-09-07,8,0,0
2021-09-08,3,1,0
2021-09-09,7,0,0
2021-09-10,6,0,0
2021-09-11,4,0,0
2021-09-12,3,0,0
2021-09-14,4,0,0
2021-09-15,6,0,0
2021-09-16,3,0,0
2021-09-17,2,0,0
2021-09-18,5,0,0
2021-09-19,2,0,0
2021-09-20,12,1,0
2021-09-21,18,0,0
2021-09-22,26,1,0
2021-09-23,27,6,0
2021-09-24,20,2,1
2021-09-25,25,1,1
2021-09-26,19,1,0
2021-09-27,14,2,2
2021-09-28,13,4,2
2021-09-29,16,2,0
2021-09-30,32,2,1
2021-10-01,10,0,0
2021-10-02,9,1,0
2021-10-03,11,0,0
2021-10-04,5,3,1
2021-10-05,10,1,0
2021-10-06,5,1,0
2021-10-07,11,0,0
2021-10-08,10,0,0
2021-10-09,5,1,1
2021-10-10,2,0,0
2021-10-11,4,0,0
2021-10-12,4,0,0
2021-10-13,6,0,0
2021-10-14,2,0,0
2021-10-15,4,0,0
2021-10-16,1,0,0
2021-10-17,5,0,0
2021-10-19,8,0,0
2021-10-20,7,0,0
2021-10-21,16,0,0
2021-10-22,13,0,0
2021-10-23,19,0,0
2021-10-24,5,0,0
2021-10-25,16,0,0
2021-10-26,8,0,0
2021-10-27,3,0,0
2021-10-28,5,0,0
2021-10-29,3,0,0
2021-10-31,1,0,0
2021-11-01,2,0,0
2021-11-03,3,0,0
2021-11-04,4,0,0
2021-11-05,2,0,0
2021-11-07,8,0,0
2021-11-08,2,1,0
2021-11-09,3,0,0
2021-11-10,4,0,0
2021-11-11,5,0,0
2021-11-13,1,0,0
2021-11-16,4,0,0
2021-11-18,2,0,0
2021-11-19,2,0,0
2021-11-22,4,1,0
2021-11-23,2,1,1
2021-11-24,3,0,0
2021-11-25,2,0,0
2021-11-26,3,0,0
2021-11-27,4,0,0
2021-11-28,4,0,0
2021-12-01,2,0,0
2021-12-02,1,0,0
2021-12-03,4,0,0
2021-12-04,5,0,0
2021-12-05,1,0,0
2021-12-06,3,0,0
2021-12-07,1,0,0
2021-12-08,2,0,0
2021-12-09,2,0,0
2021-12-10,1,0,0
2021-12-11,4,0,0
2021-12-12,3,0,0
2021-12-13,10,0,0
2021-12-14,6,0,0
2021-12-15,25,0,0
2021-12-16,16,0,0
2021-12-17,29,0,0
2021-12-18,21,0,0
2021-12-19,34,0,0
2021-12-20,27,0,0
2021-12-21,54,0,0
2021-12-22,62,0,0
2021-12-23,94,1,0
2021-12-24,139,0,0
2021-12-25,136,1,0
2021-12-26,125,0,0
2021-12-27,159,0,0
2021-12-28,276,1,0
2021-12-29,280,1,1
2021-12-30,369,4,1
2021-12-31,521,1,2
2022-01-01,507,1,0
2022-01-02,422,0,0
2022-01-03,439,1,0
2022-01-04,493,3,2
2022-01-05,439,3,3
2022-01-06,547,5,1
2022-01-07,597,3,1
2022-01-08,476,2,1
2022-01-09,1008,2,1
2022-01-10,684,2,2
2022-01-11,761,6,1
2022-01-12,665,1,3
2022-01-13,492,4,2
2022-01-14,313,4,1
2022-01-15,372,1,1
2022-01-16,280,2,0
2022-01-17,274,1,0
2022-01-18,465,0,2
2022-01-19,391,5,0
2022-01-20,328,2,1
2022-01-21,300,4,1
2022-01-22,309,6,4
2022-01-23,352,1,0
2022-01-24,289,1,1
2022-01-25,277,3,3
2022-01-26,378,2,1
2022-01-27,323,4,1
2022-01-28,218,3,2
2022-01-29,181,2,3
2022-01-30,215,2,0
2022-01-31,161,5,1
2022-02-01,232,2,1
2022-02-02,212,2,1
2022-02-03,226,1,3
2022-02-04,268,1,0
2022-02-05,71,2,0
2022-02-06,188,2,1
2022-02-07,162,0,0
2022-02-08,300,3,3
2022-02-09,204,3,1
2022-02-10,292,2,1
2022-02-11,205,2,0
2022-02-12,265,6,2
2022-02-13,167,1,0
2022-02-14,181,1,0
2022-02-15,169,1,1
2022-02-16,306,2,1
2022-02-17,231,5,1
2022-02-18,238,2,0
2022-02-19,191,0,0
2022-02-20,268,3,2
2022-02-21,181,3,0
2022-02-22,291,3,1
2022-02-23,262,3,3
2022-02-24,343,3,2
2022-02-25,309,1,1
2022-02-26,233,1,0
2022-02-27,272,2,2
2022-02-28,345,2,1
2022-03-01,384,3,1
2022-03-02,406,2,1
2022-03-03,501,5,1
2022-03-04,464,5,1
2022-03-05,371,5,1
2022-03-06,387,2,2
2022-03-07,420,5,0
2022-03-08,660,3,1
2022-03-09,649,6,1
2022-03-10,584,2,2
2022-03-11,611,7,3
2022-03-12,348,4,2
2022-03-13,438,6,2
2022-03-14,500,1,1
2022-03-15,602,12,7
2022-03-16,574,3,4
2022-03-17,635,4,1
2022-03-18,499,9,3
2022-03-19,344,5,2
2022-03-20,378,8,5
2022-03-21,178,1,1
2022-03-22,444,11,6
2022-03-23,396,6,4
2022-03-24,476,8,3
2022-03-25,412,4,2
2022-03-26,418,3,2
2022-03-27,292,5,1
2022-03-28,308,7,1
2022-03-29,545,6,4
2022-03-30,295,4,5
2022-03-31,382,8,7
2022-04-01,305,2,6
2022-04-02,200,8,3
2022-04-03,183,5,1
2022-04-04,217,7,6
2022-04-05,317,3,4
2022-04-06,235,4,0
2022-04-07,370,3,3
2022-04-08,151,2,2
2022-04-09,215,8,1
2022-04-10,165,2,2
2022-04-11,123,3,0
2022-04-12,273,9,2
2022-04-13,171,7,4
2022-04-14,184,5,6
2022-04-15,157,4,2
2022-04-16,96,2,1
2022-04-17,75,2,0
2022-04-18,126,5,0
2022-04-19,213,3,2
2022-04-20,109,1,0
2022-04-21,144,1,0
2022-04-22,152,2,0
2022-04-23,65,2,2
2022-04-24,68,0,1
2022-04-25,91,3,2
2022-04-26,117,4,2
2022-04-27,90,3,0
2022-04-28,88,3,1
2022-04-29,89,4,0
2022-04-30,54,2,2
2022-05-01,38,2,1
2022-05-02,66,0,0
2022-05-03,79,4,2
2022-05-04,77,3,2
2022-05-05,35,2,1
2022-05-06,49,1,1
2022-05-07,26,4,1
2022-05-08,18,1,2
2022-05-09,30,0,2
2022-05-10,30,1,0
2022-05-11,28,3,0
2022-05-12,46,1,1
2022-05-13,32,0,2
2022-05-14,26,2,0
2022-05-15,10,1,1
2022-05-16,32,2,0
2022-05-17,33,2,1
2022-05-18,30,3,1
2022-05-19,36,1,1
2022-05-20,16,0,0
2022-05-21,31,2,0
2022-05-22,33,1,0
2022-05-23,41,3,0
2022-05-24,19,1,0
2022-05-25,45,1,0
2022-05-26,22,1,0
2022-05-27,31,4,0
2022-05-28,21,0,0
2022-05-29,33,1,0
2022-05-30,20,1,1
2022-05-31,29,0,0
2022-06-01,19,0,0
2022-06-02,3,0,0
